Company,Net_Profit_Sum,Cluster
3i Infotech Ltd,-2524.35,0
Adroit Infotech Ltd,-5.699999999999999,0
AION-TECH SOLUTIONS Ltd,18.009999999999998,0
Allied Digital Services Ltd,49.55,0
ASM Technologies Ltd,99.87,0
Avance Technologies Ltd,13.309999999999995,0
Bartronics India Ltd,-318.5,0
Birlasoft Ltd,2278.75,0
Cambridge Technology Enterprises Ltd,34.07,0
CG-Vak Software and Exports Ltd,51.300000000000004,0
COFORGE LIMITED Ltd,4329.05,0
Cranes Software International Ltd,-527.1899999999999,0
Cressanda Solution Ltd,7.1,0
Cybertech Systems and Software Ltd,116.67,0
Cyient Ltd,4632.76,0
Danlaw Technologies India Ltd,37.77,0
Datamatics Global Services Ltd,604.14,0
Dynacons Systems and Solutions Ltd,164.47,0
Elnet Technologies Ltd,116.98,0
Equippp Social Impact Technologies Ltd,-14.25,0
Expleo Solutions Ltd,491.23,0
FCS Software Solutions Ltd,-86.41,0
Genesys International Corporation Ltd,66.57,0
HCL Technologies Ltd,99119.74,2
Indian Infotech and Software Ltd,7.23,0
Infosys Ltd,199413.0,2
Inspirisys Solutions Ltd,-59.0,0
IZMO Ltd,24.75,0
Jeevan Scientific Technology Ltd,18.55,0
Kati Patang Lifestyle Ltd,-8.9,0
Kellton Tech Solutions Ltd,103.07,0
Kernex Microsystems (India) Ltd,-99.99,0
Mastek Ltd,612.32,0
Megasoft Ltd,27.0,0
MphasiS Ltd,10733.21,0
Nettlinx Ltd,23.330000000000002,0
Onward Technologies Ltd,111.27,0
Oracle Financial Services Software Ltd,16431.99,0
Palred Technologies Ltd,82.11999999999999,0
Persistent Systems Ltd,5572.18,0
R Systems International Ltd,921.8,0
Sasken Technologies Ltd,1167.76,0
Saven Technologies Ltd,32.15,0
SBSJHVHSV Ltd,35.01,0
Securekloud Technologies Ltd,-18.29,0
Sofcom Systems Ltd,0.8300000000000001,0
Softsol India Ltd,65.75,0
Sonata Software Ltd,2140.91,0
Starcom Information Technology Ltd,-25.9,0
Tata Consultancy Services Ltd,352709.24,1
Tech Mahindra Ltd,40828.43,0
Tera Software Ltd,46.01,0
Titan Intech Ltd,8.67,0
Trigyn Technologies Ltd,23.650000000000002,0
USG Tech Solutions Ltd,-5.32,0
VEDAVAAG Systems Ltd,75.26,0
WEP Solutions Ltd,21.51,0
Wipro Ltd,101365.6,2
Xchanging Solutions Ltd,505.37,0
Xtglobal Infotech Ltd,29.62,0
Zensar Technologies Ltd,3111.02,0
